,Date,Price,Open,High,Low,Volume,% Change
67,"Sep 04, 2020",186.70,190.00,190.00,185.70,41.39M,-2.56%
68,"Sep 03, 2020",191.60,191.40,193.25,190.00,15.69M,0.13%
69,"Sep 02, 2020",191.35,191.30,193.00,189.65,20.59M,0.60%
70,"Sep 01, 2020",190.20,191.10,192.35,188.25,39.78M,-0.47%
71,"Aug 31, 2020",191.10,199.00,199.00,190.00,97.00M,-2.28%
72,"Aug 28, 2020",195.55,194.60,196.30,194.05,34.65M,0.67%
73,"Aug 27, 2020",194.25,198.50,198.90,193.90,47.21M,-0.36%
74,"Aug 26, 2020",194.95,196.50,196.55,193.65,22.63M,-0.23%
75,"Aug 25, 2020",195.40,197.25,198.30,195.10,15.20M,-0.66%
76,"Aug 24, 2020",196.70,197.25,199.00,196.35,14.74M,-0.05%
77,"Aug 21, 2020",196.80,198.00,199.20,196.30,17.23M,0.51%
78,"Aug 20, 2020",195.80,197.00,197.20,194.55,16.91M,-1.34%
79,"Aug 19, 2020",198.45,198.60,201.70,198.10,15.47M,-0.05%
80,"Aug 18, 2020",198.55,199.90,199.90,197.25,12.49M,-0.10%
81,"Aug 17, 2020",198.75,198.05,199.50,196.85,11.74M,1.20%
82,"Aug 14, 2020",196.40,201.60,203.35,195.50,28.75M,-2.51%
83,"Aug 13, 2020",201.45,203.50,204.20,197.10,22.70M,-1.35%
84,"Aug 12, 2020",204.20,202.50,204.90,200.40,21.29M,0.57%
85,"Aug 11, 2020",203.05,200.00,207.70,200.00,55.14M,2.11%
86,"Aug 10, 2020",198.85,196.40,199.65,196.40,16.47M,1.43%
87,"Aug 07, 2020",196.05,195.50,197.00,194.15,20.91M,0.36%
88,"Aug 06, 2020",195.35,194.20,195.60,193.10,17.89M,1.32%
89,"Aug 05, 2020",192.80,194.50,194.60,191.70,48.77M,-0.44%
90,"Aug 04, 2020",193.65,192.60,195.80,192.60,17.19M,0.55%
91,"Aug 03, 2020",192.60,194.00,194.00,191.90,13.27M,-0.80%
92,"Jul 31, 2020",194.15,193.50,196.95,193.50,16.65M,0.41%
93,"Jul 30, 2020",193.35,198.40,198.40,192.50,16.32M,-1.70%
94,"Jul 29, 2020",196.70,193.45,198.20,193.40,14.83M,0.67%
95,"Jul 28, 2020",195.40,197.00,198.65,195.05,19.29M,-0.51%
96,"Jul 27, 2020",196.40,200.50,200.50,195.15,22.65M,-1.60%
97,"Jul 24, 2020
E",199.60,201.00,201.70,197.30,60.19M,-0.55%
98,"Jul 23, 2020",200.70,197.65,201.50,196.80,31.49M,2.11%
99,"Jul 22, 2020",196.55,193.00,197.90,192.50,32.57M,2.24%
100,"Jul 21, 2020",192.25,192.10,194.20,191.50,28.01M,-0.23%
101,"Jul 20, 2020",192.70,195.00,195.35,192.35,18.92M,-0.70%
102,"Jul 17, 2020",194.05,193.30,195.40,193.00,14.88M,0.10%
103,"Jul 16, 2020",193.85,198.70,198.85,192.00,22.14M,-2.44%
104,"Jul 15, 2020",198.70,196.35,200.00,194.50,23.78M,1.43%
105,"Jul 14, 2020",195.90,197.40,199.50,192.75,18.48M,-0.84%
106,"Jul 13, 2020",197.55,195.90,198.75,195.10,20.30M,1.65%
107,"Jul 10, 2020",194.35,195.15,196.50,194.00,16.19M,-0.56%
108,"Jul 09, 2020",195.45,196.90,197.00,194.15,18.77M,-0.43%
109,"Jul 08, 2020",196.30,194.25,197.95,194.25,21.28M,1.06%
110,"Jul 07, 2020",194.25,200.00,200.50,194.00,31.28M,-2.78%
111,"Jul 06, 2020
D",199.80,200.35,201.95,198.95,34.71M,-3.73%
112,"Jul 03, 2020",207.55,208.00,208.50,206.00,37.90M,0.83%
113,"Jul 02, 2020",205.85,204.45,206.75,202.55,39.32M,1.45%
114,"Jul 01, 2020",202.90,194.65,203.85,194.65,44.30M,4.24%
115,"Jun 30, 2020",194.65,199.40,199.40,194.00,41.22M,-1.32%
116,"Jun 29, 2020",197.25,202.50,203.00,196.20,91.50M,1.05%
117,"Jun 26, 2020
E",195.20,206.00,209.40,193.30,71.96M,-3.41%
118,"Jun 25, 2020",202.10,192.25,203.50,191.65,75.58M,5.34%
119,"Jun 24, 2020",191.85,187.40,194.70,186.15,54.65M,3.23%
120,"Jun 23, 2020",185.85,185.40,187.50,184.75,26.55M,0.46%
121,"Jun 22, 2020",185.00,186.50,187.50,183.15,31.40M,0.52%
122,"Jun 19, 2020",184.05,187.10,187.95,183.60,30.53M,-1.37%
123,"Jun 18, 2020",186.60,181.20,187.50,180.70,28.89M,2.98%
124,"Jun 17, 2020",181.20,184.00,185.00,180.70,24.03M,-2.05%
125,"Jun 16, 2020",185.00,190.80,190.95,181.90,27.64M,-1.18%
126,"Jun 15, 2020",187.20,193.90,193.95,186.30,24.46M,-3.46%
127,"Jun 12, 2020",193.90,188.95,195.20,187.85,22.56M,-0.18%
128,"Jun 11, 2020",194.25,200.00,201.25,193.60,19.85M,-2.41%
129,"Jun 10, 2020",199.05,199.45,203.15,198.30,27.20M,0.28%
130,"Jun 09, 2020",198.50,198.25,206.20,197.65,39.91M,0.43%
131,"Jun 08, 2020",197.65,202.90,203.65,197.00,19.56M,-1.18%
132,"Jun 05, 2020",200.00,201.80,202.00,198.65,14.63M,-0.07%
133,"Jun 04, 2020",200.15,197.75,202.50,195.00,22.00M,1.75%
134,"Jun 03, 2020",196.70,200.00,200.90,195.60,18.98M,-0.28%
135,"Jun 02, 2020",197.25,201.90,201.90,196.70,22.63M,-1.65%
136,"Jun 01, 2020",200.55,201.00,205.25,199.00,28.51M,1.62%
137,"May 29, 2020",197.35,190.45,198.00,189.00,35.84M,3.51%
138,"May 28, 2020",190.65,192.30,192.90,189.00,24.58M,-0.78%
139,"May 27, 2020",192.15,192.50,193.90,186.90,24.55M,0.23%
140,"May 26, 2020",191.70,190.00,194.95,187.80,53.24M,2.87%
141,"May 22, 2020",186.35,188.00,191.90,184.60,39.01M,-1.38%
142,"May 21, 2020",188.95,175.60,190.45,172.65,58.38M,7.51%
143,"May 20, 2020",175.75,171.95,177.00,171.00,25.32M,2.93%
144,"May 19, 2020",170.75,166.50,171.65,165.10,20.14M,3.64%
145,"May 18, 2020",164.75,166.00,167.30,163.15,20.80M,0.06%
146,"May 15, 2020",164.65,162.20,165.50,161.15,14.95M,0.52%
147,"May 14, 2020",163.80,164.50,168.25,161.95,14.95M,-0.97%
148,"May 13, 2020",165.40,173.40,173.60,164.50,20.02M,0.21%
149,"May 12, 2020",165.05,158.45,165.90,157.50,21.39M,4.17%
150,"May 11, 2020",158.45,160.00,163.50,158.00,18.10M,0.13%
151,"May 08, 2020",158.25,163.95,164.15,157.10,25.31M,-1.71%
152,"May 07, 2020",161.00,164.00,165.85,160.50,24.25M,-1.77%
153,"May 06, 2020",163.90,171.40,171.40,160.50,65.59M,-5.75%
154,"May 05, 2020",173.90,175.00,177.45,172.00,17.71M,-0.09%
155,"May 04, 2020",174.05,181.75,181.75,170.65,30.30M,-4.39%
156,"Apr 30, 2020",182.05,184.90,184.90,180.45,30.17M,-0.05%
157,"Apr 29, 2020",182.15,180.50,182.90,179.65,21.46M,1.50%
158,"Apr 28, 2020",179.45,180.00,180.80,178.05,17.80M,-0.22%
159,"Apr 27, 2020",179.85,180.25,182.30,179.30,13.09M,-0.11%
160,"Apr 24, 2020",180.05,181.00,182.80,179.30,18.05M,-0.28%
161,"Apr 23, 2020",180.55,182.95,184.00,179.65,32.97M,-0.93%
162,"Apr 22, 2020",182.25,179.00,183.55,176.00,25.16M,1.48%
163,"Apr 21, 2020",179.60,178.00,184.30,176.05,23.33M,-0.61%
164,"Apr 20, 2020",180.70,189.95,189.95,179.50,35.77M,-3.93%
165,"Apr 17, 2020",188.10,190.45,191.40,186.95,26.67M,0.94%
166,"Apr 16, 2020",186.35,189.65,191.20,185.45,27.08M,-1.58%
167,"Apr 15, 2020",189.35,184.05,193.75,182.70,49.09M,4.27%
168,"Apr 13, 2020",181.60,184.50,186.65,181.05,17.74M,-1.97%
169,"Apr 09, 2020",185.25,184.00,186.25,180.00,42.64M,3.69%
170,"Apr 08, 2020",178.65,180.85,184.00,176.65,37.56M,-1.60%
171,"Apr 07, 2020",181.55,185.70,185.70,173.65,36.12M,2.05%
172,"Apr 03, 2020",177.90,167.90,182.75,167.00,62.87M,6.91%
173,"Apr 01, 2020",166.40,171.70,172.75,164.55,18.14M,-3.09%
174,"Mar 31, 2020",171.70,164.00,173.85,161.55,42.63M,7.85%
175,"Mar 30, 2020",159.20,156.05,164.90,156.05,28.12M,-2.45%
176,"Mar 27, 2020",163.20,162.00,166.00,155.00,32.64M,4.35%
177,"Mar 26, 2020",156.40,150.00,159.40,143.25,58.44M,6.14%
178,"Mar 25, 2020",147.35,151.00,152.00,139.00,62.51M,-1.57%
179,"Mar 24, 2020",149.70,162.95,163.70,147.40,52.57M,-2.98%
180,"Mar 23, 2020",154.30,158.00,162.00,149.20,51.35M,-12.08%
